"Year","Country.or.territory.of.asylum.or.residence","Country.or.territory.of.origin","Refugees","Refugees.assisted.by.UNHCR","Total.refugees.and.people.in.refugee.like.situations","Total.refugees.and.people.in.refugee.like.situations.assisted.by.UNHCR"
"2002","ETH","AFG",3,3,3,3
"2002","ETH","ANG",4,4,4,4
"2002","ETH","BDI",23,23,23,23
"2002","ETH","CHD",2,2,2,2
"2002","ETH","COD",60,60,60,60
"2002","ETH","CZE",2,2,2,2
"2002","ETH","DJB",55,55,55,55
"2002","ETH","ERT",5126,5126,5126,NA
"2002","ETH","IRQ",5,5,5,5
"2002","ETH","KEN",5,5,5,5
"2002","ETH","NIG",NA,NA,NA,NA
"2002","ETH","RSA",5,5,5,5
"2002","ETH","RWA",46,46,46,46
"2002","ETH","SOM",37532,37532,37532,NA
"2002","ETH","SUD",89952,89952,89952,NA
"2002","ETH","UGA",92,92,92,92
"2002","ETH","YEM",28,28,28,28
"2002","FIN","AFG",932,NA,932,NA
"2002","FIN","ALB",7,NA,7,NA
"2002","FIN","ALG",43,NA,43,NA
"2002","FIN","ANG",108,NA,108,NA
"2002","FIN","ARE",6,NA,6,NA
"2002","FIN","ARM",10,NA,10,NA
"2002","FIN","AZE",23,NA,23,NA
"2002","FIN","BDI",4,NA,4,NA
"2002","FIN","BGD",30,NA,30,NA
"2002","FIN","BLR",26,NA,26,NA
"2002","FIN","BOL",13,NA,13,NA
"2002","FIN","BSN",82,NA,82,NA
"2002","FIN","BUL",8,NA,8,NA
"2002","FIN","CAM",3,NA,3,NA
"2002","FIN","CHI",31,NA,31,NA
"2002","FIN","CMR",5,NA,5,NA
"2002","FIN","COB",13,NA,13,NA
"2002","FIN","COD",147,NA,147,NA
"2002","FIN","COL",12,NA,12,NA
"2002","FIN","CUB",27,NA,27,NA
"2002","FIN","CZE",2,NA,2,NA
"2002","FIN","ERT",1,NA,1,NA
"2002","FIN","EST",4,NA,4,NA
"2002","FIN","ETH",37,NA,37,NA
"2002","FIN","GAM",3,NA,3,NA
"2002","FIN","GEO",11,NA,11,NA
"2002","FIN","GHA",17,NA,17,NA
"2002","FIN","GUI",NA,NA,NA,NA
"2002","FIN","HRV",155,NA,155,NA
"2002","FIN","HUN",5,NA,5,NA
"2002","FIN","ICO",1,NA,1,NA
"2002","FIN","IND",11,NA,11,NA
"2002","FIN","INS",1,NA,1,NA
"2002","FIN","IRN",1222,NA,1222,NA
"2002","FIN","IRQ",1460,NA,1460,NA
"2002","FIN","ISR",3,NA,3,NA
"2002","FIN","JOR",15,NA,15,NA
"2002","FIN","KAZ",17,NA,17,NA
"2002","FIN","LBR",18,NA,18,NA
"2002","FIN","LBY",19,NA,19,NA
"2002","FIN","LEB",6,NA,6,NA
"2002","FIN","LKA",65,NA,65,NA
"2002","FIN","LVA",2,NA,2,NA
"2002","FIN","MCD",9,NA,9,NA
"2002","FIN","MOR",2,NA,2,NA
"2002","FIN","MYA",103,NA,103,NA
"2002","FIN","NAM",1,NA,1,NA
"2002","FIN","NEP",2,NA,2,NA
"2002","FIN","NGR",NA,NA,NA,NA
"2002","FIN","NIG",12,NA,12,NA
"2002","FIN","PAK",18,NA,18,NA
"2002","FIN","ROM",5,NA,5,NA
"2002","FIN","RUS",143,NA,143,NA
"2002","FIN","RWA",22,NA,22,NA
"2002","FIN","SEN",3,NA,3,NA
"2002","FIN","SLE",18,NA,18,NA
"2002","FIN","SOM",978,NA,978,NA
"2002","FIN","SRB",2836,NA,2836,NA
"2002","FIN","SRV",6,NA,6,NA
"2002","FIN","STA",39,NA,39,NA
"2002","FIN","SUD",120,NA,120,NA
"2002","FIN","SVK",14,NA,14,NA
"2002","FIN","SYR",25,NA,25,NA
"2002","FIN","TAN",1,NA,1,NA
"2002","FIN","TJK",13,NA,13,NA
"2002","FIN","TKM",4,NA,4,NA
"2002","FIN","TOG",2,NA,2,NA
"2002","FIN","TUR",226,NA,226,NA
"2002","FIN","UGA",9,NA,9,NA
"2002","FIN","UKR",14,NA,14,NA
"2002","FIN","UZB",13,NA,13,NA
"2002","FIN","VAR",3246,NA,3246,NA
"2002","FIN","YEM",1,NA,1,NA
"2002","FRA","AFG",1256,NA,1256,NA
"2002","FRA","ALB",869,NA,869,NA
"2002","FRA","ALG",604,NA,604,NA
"2002","FRA","ANG",1777,NA,1777,NA
"2002","FRA","ARE",66,NA,66,NA
"2002","FRA","ARM",481,NA,481,NA
"2002","FRA","AZE",253,NA,253,NA
"2002","FRA","BDI",219,NA,219,NA
"2002","FRA","BEN",6,NA,6,NA
"2002","FRA","BGD",797,NA,797,NA
"2002","FRA","BHU",16,NA,16,NA
"2002","FRA","BKF",28,NA,28,NA
"2002","FRA","BLR",85,NA,85,NA
"2002","FRA","BOL",25,NA,25,NA
"2002","FRA","BSN",1513,NA,1513,NA
"2002","FRA","BUL",88,NA,88,NA
"2002","FRA","CAM",15439,NA,15439,NA
"2002","FRA","CAR",220,NA,220,NA
"2002","FRA","CHD",380,NA,380,NA
"2002","FRA","CHI",442,NA,442,NA
"2002","FRA","CHL",102,NA,102,NA
"2002","FRA","CMR",164,NA,164,NA
"2002","FRA","COB",1131,NA,1131,NA
"2002","FRA","COD",6339,NA,6339,NA
"2002","FRA","COI",10,NA,10,NA
"2002","FRA","COL",264,NA,264,NA
"2002","FRA","CUB",90,NA,90,NA
"2002","FRA","CZE",36,NA,36,NA
"2002","FRA","DJB",42,NA,42,NA
"2002","FRA","ECU",29,NA,29,NA
"2002","FRA","EGU",22,NA,22,NA
"2002","FRA","ERT",20,NA,20,NA
"2002","FRA","EST",14,NA,14,NA
"2002","FRA","ETH",292,NA,292,NA
"2002","FRA","GAB",5,NA,5,NA
"2002","FRA","GAM",44,NA,44,NA
"2002","FRA","GAZ",79,NA,79,NA
"2002","FRA","GEO",416,NA,416,NA
"2002","FRA","GHA",760,NA,760,NA
"2002","FRA","GNB",842,NA,842,NA
"2002","FRA","GUA",17,NA,17,NA
"2002","FRA","GUI",330,NA,330,NA
"2002","FRA","HAI",1570,NA,1570,NA
"2002","FRA","HRV",65,NA,65,NA
"2002","FRA","HUN",77,NA,77,NA
"2002","FRA","ICO",111,NA,111,NA
"2002","FRA","IND",177,NA,177,NA
"2002","FRA","INS",6,NA,6,NA
"2002","FRA","IRN",1884,NA,1884,NA
"2002","FRA","IRQ",1597,NA,1597,NA
"2002","FRA","JOR",6,NA,6,NA
"2002","FRA","KAZ",102,NA,102,NA
"2002","FRA","KEN",8,NA,8,NA
"2002","FRA","KGZ",12,NA,12,NA
"2002","FRA","LAO",8703,NA,8703,NA
"2002","FRA","LBR",148,NA,148,NA
"2002","FRA","LBY",8,NA,8,NA
"2002","FRA","LEB",76,NA,76,NA
"2002","FRA","LKA",15938,NA,15938,NA
"2002","FRA","LTU",12,NA,12,NA
"2002","FRA","LVA",40,NA,40,NA
"2002","FRA","MAD",31,NA,31,NA
"2002","FRA","MAU",2143,NA,2143,NA
"2002","FRA","MCD",63,NA,63,NA
"2002","FRA","MDA",100,NA,100,NA
"2002","FRA","MLI",115,NA,115,NA
"2002","FRA","MNG",8,NA,8,NA
"2002","FRA","MOR",86,NA,86,NA
"2002","FRA","MOZ",13,NA,13,NA
"2002","FRA","MTS",5,NA,5,NA
"2002","FRA","MYA",74,NA,74,NA
"2002","FRA","NGR",9,NA,9,NA
"2002","FRA","NIG",181,NA,181,NA
"2002","FRA","PAK",157,NA,157,NA
"2002","FRA","PER",310,NA,310,NA
"2002","FRA","POL",242,NA,242,NA
"2002","FRA","ROM",256,NA,256,NA
"2002","FRA","RSA",18,NA,18,NA
"2002","FRA","RUS",1794,NA,1794,NA
"2002","FRA","RWA",1329,NA,1329,NA
"2002","FRA","SAL",16,NA,16,NA
"2002","FRA","SEN",81,NA,81,NA
"2002","FRA","SEY",7,NA,7,NA
"2002","FRA","SLE",180,NA,180,NA
"2002","FRA","SOM",563,NA,563,NA
"2002","FRA","SRB",5589,NA,5589,NA
"2002","FRA","SRV",10818,NA,10818,NA
"2002","FRA","STA",844,NA,844,NA
"2002","FRA","SUD",292,NA,292,NA
"2002","FRA","SVK",76,NA,76,NA
"2002","FRA","SYR",207,NA,207,NA
"2002","FRA","TJK",13,NA,13,NA
"2002","FRA","TOG",186,NA,186,NA
"2002","FRA","TUN",320,NA,320,NA
"2002","FRA","TUR",9407,NA,9407,NA
"2002","FRA","UGA",26,NA,26,NA
"2002","FRA","UKR",438,NA,438,NA
"2002","FRA","UZB",33,NA,33,NA
"2002","FRA","VAR",30000,NA,30000,NA
"2002","GAB","ANG",124,124,124,124
"2002","GAB","BDI",39,39,39,39
"2002","GAB","CAM",1,1,1,1
"2002","GAB","CAR",9,9,9,9
"2002","GAB","CHD",1053,1053,1053,NA
"2002","GAB","CMR",NA,NA,NA,NA
"2002","GAB","COB",11945,11945,11945,NA
"2002","GAB","COD",42,42,42,42
"2002","GAB","EGU",64,64,64,64
"2002","GAB","ETH",2,2,2,2
"2002","GAB","GHA",NA,NA,NA,NA
"2002","GAB","GUI",1,1,1,1
"2002","GAB","ICO",1,1,1,1
"2002","GAB","LBR",8,8,8,8
"2002","GAB","MAU",28,28,28,28
"2002","GAB","MLI",NA,NA,NA,NA
"2002","GAB","NGR",NA,NA,NA,NA
"2002","GAB","NIG",NA,NA,NA,NA
"2002","GAB","RWA",88,88,88,88
"2002","GAB","SEN",NA,NA,NA,NA
"2002","GAB","SLE",9,9,9,9
"2002","GAB","SOM",1,1,1,1
"2002","GAB","SRV",4,4,4,4
"2002","GAB","STP",36,36,36,36
"2002","GAB","SUD",4,4,4,4
"2002","GAB","TAN",1,1,1,1
"2002","GAB","TOG",13,13,13,13
"2002","GAM","COD",1,1,1,1
"2002","GAM","ERT",1,1,1,1
"2002","GAM","ETH",3,3,3,3
"2002","GAM","GHA",2,2,2,2
"2002","GAM","GNB",5,5,5,5
"2002","GAM","IRQ",2,2,2,2
"2002","GAM","LBR",131,21,131,21
"2002","GAM","NIG",3,3,3,3
"2002","GAM","SEN",4230,337,4230,337
"2002","GAM","SLE",7734,1060,7734,NA
"2002","GAM","SOM",7,7,7,7
"2002","GAM","SUD",1,1,1,1
"2002","GBR","AFG",20305,NA,20305,NA
"2002","GBR","ALB",780,NA,780,NA
"2002","GBR","ALG",2125,NA,2125,NA
"2002","GBR","ANG",2545,NA,2545,NA
"2002","GBR","BDI",900,NA,900,NA
"2002","GBR","BGD",850,NA,850,NA
"2002","GBR","BSN",65,NA,65,NA
"2002","GBR","BUL",10,NA,10,NA
"2002","GBR","CHI",1325,NA,1325,NA
"2002","GBR","CMR",175,NA,175,NA
"2002","GBR","COB",465,NA,465,NA
"2002","GBR","COD",4330,NA,4330,NA
"2002","GBR","COL",1140,NA,1140,NA
"2002","GBR","CZE",85,NA,85,NA
"2002","GBR","ECU",265,NA,265,NA
"2002","GBR","ERT",975,NA,975,NA
"2002","GBR","ETH",3345,NA,3345,NA
"2002","GBR","GAM",165,NA,165,NA
"2002","GBR","GHA",1855,NA,1855,NA
"2002","GBR","HRV",50,NA,50,NA
"2002","GBR","ICO",500,NA,500,NA
"2002","GBR","IND",775,NA,775,NA
"2002","GBR","IRN",5375,NA,5375,NA
"2002","GBR","IRQ",20580,NA,20580,NA
"2002","GBR","JAM",85,NA,85,NA
"2002","GBR","KEN",1305,NA,1305,NA
"2002","GBR","LBR",250,NA,250,NA
"2002","GBR","LEB",495,NA,495,NA
"2002","GBR","LKA",9545,NA,9545,NA
"2002","GBR","MCD",340,NA,340,NA
"2002","GBR","MDA",25,NA,25,NA
"2002","GBR","NEP",65,NA,65,NA
"2002","GBR","NIG",1785,NA,1785,NA
"2002","GBR","PAK",2325,NA,2325,NA
"2002","GBR","POL",125,NA,125,NA
"2002","GBR","ROM",355,NA,355,NA
"2002","GBR","RSA",5,NA,5,NA
"2002","GBR","RUS",1190,NA,1190,NA
"2002","GBR","RWA",1635,NA,1635,NA
"2002","GBR","SLE",3760,NA,3760,NA
"2002","GBR","SOM",34131,NA,34131,NA
"2002","GBR","SRB",19875,NA,19875,NA
"2002","GBR","SRV",50,NA,50,NA
"2002","GBR","SUD",2780,NA,2780,NA
"2002","GBR","TAN",260,NA,260,NA
"2002","GBR","TOG",25,NA,25,NA
"2002","GBR","TUR",6945,NA,6945,NA
"2002","GBR","UGA",2335,NA,2335,NA
"2002","GBR","UKR",345,NA,345,NA
"2002","GBR","VAR",98151,NA,98151,NA
"2002","GBR","ZIM",3515,NA,3515,NA
"2002","GEO","AFG",3,NA,3,NA
"2002","GEO","AZE",13,NA,13,NA
"2002","GEO","IRN",NA,NA,NA,NA
"2002","GEO","RUS",4176,4174,4176,NA
"2002","GFR","AFG",52289,NA,52289,NA
"2002","GFR","ALB",2073,NA,2073,NA
"2002","GFR","ALG",3794,NA,3794,NA
"2002","GFR","AND",9,NA,9,NA
"2002","GFR","ANG",3334,NA,3334,NA
"2002","GFR","ARE",1410,NA,1410,NA
"2002","GFR","ARG",53,NA,53,NA
"2002","GFR","ARM",4718,NA,4718,NA
"2002","GFR","AUL",9,NA,9,NA
"2002","GFR","AUS",54,NA,54,NA
"2002","GFR","AZE",7405,NA,7405,NA
"2002","GFR","BAH",5,NA,5,NA
"2002","GFR","BAR",2,NA,2,NA
"2002","GFR","BDI",246,NA,246,NA
"2002","GFR","BEL",16,NA,16,NA
"2002","GFR","BEN",175,NA,175,NA
"2002","GFR","BGD",579,NA,579,NA
"2002","GFR","BHU",190,NA,190,NA
"2002","GFR","BKF",880,NA,880,NA
"2002","GFR","BLR",2449,NA,2449,NA
"2002","GFR","BOL",64,NA,64,NA
"2002","GFR","BOT",3,NA,3,NA
"2002","GFR","BRA",150,NA,150,NA
"2002","GFR","BRU",1,NA,1,NA
"2002","GFR","BSN",40531,NA,40531,NA
"2002","GFR","BUL",998,NA,998,NA
"2002","GFR","BZE",1,NA,1,NA
"2002","GFR","CAM",252,NA,252,NA
"2002","GFR","CAN",47,NA,47,NA
"2002","GFR","CAR",20,NA,20,NA
"2002","GFR","CHD",47,NA,47,NA
"2002","GFR","CHI",6280,NA,6280,NA
"2002","GFR","CHL",1056,NA,1056,NA
"2002","GFR","CMR",1223,NA,1223,NA
"2002","GFR","COB",796,NA,796,NA
"2002","GFR","COD",7370,NA,7370,NA
"2002","GFR","COI",5,NA,5,NA
"2002","GFR","COL",236,NA,236,NA
"2002","GFR","COS",7,NA,7,NA
"2002","GFR","CUB",469,NA,469,NA
"2002","GFR","CVI",5,NA,5,NA
"2002","GFR","CYP",2,NA,2,NA
"2002","GFR","CZE",5935,NA,5935,NA
"2002","GFR","DEN",6,NA,6,NA
"2002","GFR","DJB",7,NA,7,NA
"2002","GFR","DOM",46,NA,46,NA
"2002","GFR","ECU",86,NA,86,NA
"2002","GFR","EGU",65,NA,65,NA
"2002","GFR","ERT",2553,NA,2553,NA
"2002","GFR","EST",648,NA,648,NA
"2002","GFR","ETH",8134,NA,8134,NA
"2002","GFR","FIJ",1,NA,1,NA
"2002","GFR","FIN",8,NA,8,NA
"2002","GFR","FRA",59,NA,59,NA
"2002","GFR","GAB",23,NA,23,NA
"2002","GFR","GAM",167,NA,167,NA
"2002","GFR","GBR",42,NA,42,NA
"2002","GFR","GEO",2644,NA,2644,NA
"2002","GFR","GHA",1308,NA,1308,NA
"2002","GFR","GNB",56,NA,56,NA
"2002","GFR","GRE",234,NA,234,NA
"2002","GFR","GUA",6,NA,6,NA
"2002","GFR","GUI",703,NA,703,NA
"2002","GFR","GUY",3,NA,3,NA
"2002","GFR","HAI",16,NA,16,NA
"2002","GFR","HON",14,NA,14,NA
"2002","GFR","HRV",3845,NA,3845,NA
"2002","GFR","HUN",2540,NA,2540,NA
"2002","GFR","ICE",13,NA,13,NA
"2002","GFR","ICO",658,NA,658,NA
"2002","GFR","IND",2532,NA,2532,NA
"2002","GFR","INS",99,NA,99,NA
"2002","GFR","IRE",5,NA,5,NA
"2002","GFR","IRN",51538,NA,51538,NA
"2002","GFR","IRQ",72697,NA,72697,NA
"2002","GFR","ISR",337,NA,337,NA
"2002","GFR","ITA",191,NA,191,NA
"2002","GFR","JAM",14,NA,14,NA
"2002","GFR","JOR",554,NA,554,NA
"2002","GFR","JPN",14,NA,14,NA
"2002","GFR","KAZ",3464,NA,3464,NA
"2002","GFR","KEN",179,NA,179,NA
"2002","GFR","KGZ",2106,NA,2106,NA
"2002","GFR","KIR",1,NA,1,NA
"2002","GFR","KOR",157,NA,157,NA
"2002","GFR","KRN",225,NA,225,NA
"2002","GFR","KUW",35,NA,35,NA
"2002","GFR","LAO",403,NA,403,NA
"2002","GFR","LBR",810,NA,810,NA
"2002","GFR","LBY",495,NA,495,NA
"2002","GFR","LEB",19035,NA,19035,NA
"2002","GFR","LES",3,NA,3,NA
"2002","GFR","LKA",17403,NA,17403,NA
"2002","GFR","LTU",1150,NA,1150,NA
"2002","GFR","LVA",2415,NA,2415,NA
"2002","GFR","MAD",8,NA,8,NA
"2002","GFR","MAU",72,NA,72,NA
"2002","GFR","MCD",3186,NA,3186,NA
"2002","GFR","MCO",1,NA,1,NA
"2002","GFR","MDA",5370,NA,5370,NA
"2002","GFR","MEX",13,NA,13,NA
"2002","GFR","MLI",151,NA,151,NA
"2002","GFR","MLS",23,NA,23,NA
"2002","GFR","MLW",11,NA,11,NA
"2002","GFR","MNG",196,NA,196,NA
"2002","GFR","MOR",888,NA,888,NA
"2002","GFR","MOZ",87,NA,87,NA
"2002","GFR","MTA",1,NA,1,NA
"2002","GFR","MTS",4,NA,4,NA
"2002","GFR","MYA",368,NA,368,NA
"2002","GFR","NAM",13,NA,13,NA
"2002","GFR","NEP",390,NA,390,NA
"2002","GFR","NET",27,NA,27,NA
"2002","GFR","NGR",307,NA,307,NA
"2002","GFR","NIC",12,NA,12,NA
"2002","GFR","NIG",1306,NA,1306,NA
"2002","GFR","NOR",4,NA,4,NA
"2002","GFR","NZL",2,NA,2,NA
"2002","GFR","OMN",7,NA,7,NA
"2002","GFR","PAK",9254,NA,9254,NA
"2002","GFR","PAN",6,NA,6,NA
"2002","GFR","PAR",15,NA,15,NA
"2002","GFR","PER",371,NA,371,NA
"2002","GFR","PHI",141,NA,141,NA
"2002","GFR","PNG",1,NA,1,NA
"2002","GFR","POL",15182,NA,15182,NA
"2002","GFR","POR",50,NA,50,NA
"2002","GFR","QAT",3,NA,3,NA
"2002","GFR","ROM",4251,NA,4251,NA
"2002","GFR","RSA",91,NA,91,NA
"2002","GFR","RUS",44284,NA,44284,NA
"2002","GFR","RWA",562,NA,562,NA
"2002","GFR","SAL",43,NA,43,NA
"2002","GFR","SAU",31,NA,31,NA
"2002","GFR","SEN",140,NA,140,NA
"2002","GFR","SEY",2,NA,2,NA
"2002","GFR","SIN",3,NA,3,NA
"2002","GFR","SLE",2191,NA,2191,NA
"2002","GFR","SOM",3881,NA,3881,NA
"2002","GFR","SPA",40,NA,40,NA
"2002","GFR","SRB",183170,NA,183170,NA
"2002","GFR","SRV",26888,NA,26888,NA
"2002","GFR","STA",6533,NA,6533,NA
"2002","GFR","STP",3,NA,3,NA
"2002","GFR","SUD",1362,NA,1362,NA
"2002","GFR","SVK",334,NA,334,NA
"2002","GFR","SVN",140,NA,140,NA
"2002","GFR","SWA",3,NA,3,NA
"2002","GFR","SWE",20,NA,20,NA
"2002","GFR","SWI",12,NA,12,NA
"2002","GFR","SYR",14398,NA,14398,NA
"2002","GFR","TAN",28,NA,28,NA
"2002","GFR","THA",242,NA,242,NA
"2002","GFR","TJK",291,NA,291,NA
"2002","GFR","TKM",519,NA,519,NA
"2002","GFR","TOG",5743,NA,5743,NA
"2002","GFR","TON",7,NA,7,NA
"2002","GFR","TRT",5,NA,5,NA
"2002","GFR","TUN",1047,NA,1047,NA
"2002","GFR","TUR",148983,NA,148983,NA
"2002","GFR","UAE",15,NA,15,NA
"2002","GFR","UGA",336,NA,336,NA
"2002","GFR","UKR",53502,NA,53502,NA
"2002","GFR","URU",9,NA,9,NA
"2002","GFR","USA",182,NA,182,NA
"2002","GFR","UZB",2940,NA,2940,NA
"2002","GFR","VAR",94944,NA,94944,NA
"2002","GFR","VEN",24,NA,24,NA
"2002","GFR","YEM",358,NA,358,NA
"2002","GFR","ZAM",11,NA,11,NA
"2002","GFR","ZIM",27,NA,27,NA
"2002","GHA","ANG",1,NA,1,NA
"2002","GHA","BDI",7,NA,7,NA
"2002","GHA","BKF",1,NA,1,NA
"2002","GHA","CHD",1,1,1,1
"2002","GHA","CMR",2,NA,2,NA
"2002","GHA","COB",6,NA,6,NA
"2002","GHA","COD",14,3,14,3
"2002","GHA","ETH",5,NA,5,NA
"2002","GHA","LBR",28298,27153,28298,NA
"2002","GHA","NIG",2,NA,2,NA
"2002","GHA","RWA",18,7,18,7
"2002","GHA","SLE",4316,1399,4316,NA
"2002","GHA","SOM",1,NA,1,NA
"2002","GHA","SUD",23,16,23,16
"2002","GHA","TOG",819,374,819,374
"2002","GHA","UGA",1,NA,1,NA
"2002","GNB","BDI",NA,NA,NA,NA
"2002","GNB","GHA",NA,NA,NA,NA
"2002","GNB","LBR",10,10,10,10
"2002","GNB","NIG",NA,NA,NA,NA
"2002","GNB","SEN",7322,7322,7322,NA
"2002","GNB","SLE",307,307,307,307
"2002","GRE","AFG",137,11,137,11
"2002","GRE","ALB",14,1,14,1
"2002","GRE","ALG",8,NA,8,NA
"2002","GRE","ANG",1,6,1,6
"2002","GRE","ARE",2,NA,2,NA
"2002","GRE","ARM",1,NA,1,NA
"2002","GRE","AZE",6,NA,6,NA
"2002","GRE","BDI",21,4,21,4
"2002","GRE","BGD",14,2,14,2
"2002","GRE","CAM",1,NA,1,NA
"2002","GRE","CAR",2,2,2,2
"2002","GRE","CHD",4,NA,4,NA
"2002","GRE","CHI",7,NA,7,NA
"2002","GRE","CMR",4,NA,4,NA
"2002","GRE","COB",5,9,5,9
"2002","GRE","COD",22,9,22,9
"2002","GRE","ERT",2,NA,2,NA
"2002","GRE","ETH",24,2,24,2
"2002","GRE","GAZ",30,7,30,7
"2002","GRE","GHA",6,1,6,1
"2002","GRE","HRV",1,NA,1,NA
"2002","GRE","ICO",1,NA,1,NA
"2002","GRE","IND",6,2,6,2
"2002","GRE","IRN",392,35,392,35
"2002","GRE","IRQ",950,59,950,59
"2002","GRE","JOR",1,NA,1,NA
"2002","GRE","KEN",3,NA,3,NA
"2002","GRE","LBR",6,1,6,1
"2002","GRE","LBY",1,NA,1,NA
"2002","GRE","LEB",64,3,64,3
"2002","GRE","LKA",44,2,44,2
"2002","GRE","MOR",4,NA,4,NA
"2002","GRE","MYA",2,1,2,1
"2002","GRE","NIG",21,3,21,3
"2002","GRE","PAK",7,1,7,1
"2002","GRE","RUS",9,NA,9,NA
"2002","GRE","RWA",17,3,17,3
"2002","GRE","SLE",22,6,22,6
"2002","GRE","SOM",2,NA,2,NA
"2002","GRE","SRB",35,NA,35,NA
"2002","GRE","SRV",4,1,4,1
"2002","GRE","STA",1,NA,1,NA
"2002","GRE","SUD",47,20,47,20
"2002","GRE","SYR",55,11,55,11
"2002","GRE","TUN",3,NA,3,NA
"2002","GRE","TUR",629,28,629,28
"2002","GRE","VAR",150,2,150,2
"2002","GUA","ANG",1,1,1,1
"2002","GUA","CHI",3,2,3,2
"2002","GUA","COL",2,2,2,2
"2002","GUA","CUB",8,5,8,5
"2002","GUA","DOM",1,1,1,1
"2002","GUA","ETH",2,2,2,2
"2002","GUA","HAI",3,1,3,1
"2002","GUA","HON",12,12,12,12
"2002","GUA","IND",3,3,3,3
"2002","GUA","LKA",9,9,9,9
"2002","GUA","NIC",501,220,501,220
"2002","GUA","NIG",1,1,1,1
"2002","GUA","PER",6,3,6,3
"2002","GUA","RUS",4,4,4,4
"2002","GUA","SAL",176,110,176,110
"2002","GUA","SUD",1,NA,1,NA
"2002","GUI","ALG",3,1,3,1
"2002","GUI","BDI",8,4,8,4
"2002","GUI","BKF",4,NA,4,NA
"2002","GUI","CAR",1,NA,1,NA
"2002","GUI","CHD",22,NA,22,NA
"2002","GUI","CHI",NA,NA,NA,NA
"2002","GUI","CMR",3,1,3,1
"2002","GUI","COB",1,NA,1,NA
"2002","GUI","COD",40,1,40,1
"2002","GUI","COI",20,10,20,10
"2002","GUI","GHA",5,NA,5,NA
"2002","GUI","GNB",1,NA,1,NA
"2002","GUI","ICO",2188,2188,2188,NA
"2002","GUI","LBR",119293,55591,119293,NA
"2002","GUI","NIG",7,3,7,3
"2002","GUI","RUS",2,2,2,2
"2002","GUI","RWA",8,1,8,1
"2002","GUI","SLE",60553,40553,60553,NA
"2002","GUI","SUD",1,1,1,1
"2002","GUI","TOG",3,NA,3,NA
"2002","HKG","ALG",1,1,1,1
"2002","HKG","BGD",1,1,1,1
"2002","HKG","COD",4,4,4,4
"2002","HKG","COL",1,NA,1,NA
"2002","HKG","ERT",9,4,9,4
"2002","HKG","ETH",3,3,3,3
"2002","HKG","IRN",2,2,2,2
"2002","HKG","IRQ",2,2,2,2
"2002","HKG","LBR",1,1,1,1
"2002","HKG","LKA",13,13,13,13
"2002","HKG","MYA",2,2,2,2
"2002","HKG","NIG",3,3,3,3
"2002","HKG","PAK",66,53,66,53
"2002","HKG","SLE",3,2,3,2
"2002","HKG","SOM",NA,NA,NA,NA
"2002","HKG","SRV",1382,1,1382,1
"2002","HKG","STA",2,2,2,2
"2002","HKG","SUD",1,1,1,1
"2002","HON","COL",2,NA,2,NA
"2002","HON","CUB",10,NA,10,NA
"2002","HON","ECU",1,NA,1,NA
"2002","HON","HAI",8,NA,8,NA
"2002","HON","IRN",4,NA,4,NA
"2002","HON","PER",4,NA,4,NA
"2002","HRV","BSN",7672,7672,7672,NA
"2002","HRV","IRQ",NA,NA,NA,NA
"2002","HRV","MCD",41,41,41,41
"2002","HRV","SRB",679,679,679,679
"2002","HUN","AFG",1319,NA,1319,NA
"2002","HUN","ALB",9,NA,9,NA
"2002","HUN","ALG",27,NA,27,NA
"2002","HUN","ANG",11,NA,11,NA
"2002","HUN","ARM",57,NA,57,NA
"2002","HUN","AZE",1,NA,1,NA
"2002","HUN","BDI",1,NA,1,NA
"2002","HUN","BGD",3,NA,3,NA
"2002","HUN","BKF",1,NA,1,NA
"2002","HUN","BSN",4,NA,4,NA
"2002","HUN","CHI",2,NA,2,NA
"2002","HUN","CMR",74,NA,74,NA
"2002","HUN","COB",12,NA,12,NA
"2002","HUN","COD",21,NA,21,NA
"2002","HUN","CUB",2,NA,2,NA
"2002","HUN","ETH",29,NA,29,NA
"2002","HUN","GAZ",24,NA,24,NA
"2002","HUN","GEO",52,NA,52,NA
"2002","HUN","GHA",4,NA,4,NA
"2002","HUN","GUI",3,NA,3,NA
"2002","HUN","HRV",33,NA,33,NA
"2002","HUN","IRN",38,NA,38,NA
"2002","HUN","IRQ",700,NA,700,NA
"2002","HUN","KEN",1,NA,1,NA
"2002","HUN","KUW",2,NA,2,NA
"2002","HUN","LBR",8,NA,8,NA
"2002","HUN","LBY",1,NA,1,NA
"2002","HUN","LEB",3,NA,3,NA
"2002","HUN","MAD",1,NA,1,NA
"2002","HUN","MDA",2,NA,2,NA
"2002","HUN","NIG",58,NA,58,NA
"2002","HUN","PAK",8,NA,8,NA
"2002","HUN","ROM",1316,NA,1316,NA
"2002","HUN","RUS",38,NA,38,NA
"2002","HUN","SEN",2,NA,2,NA
"2002","HUN","SLE",36,NA,36,NA
"2002","HUN","SOM",73,NA,73,NA
"2002","HUN","SRB",1976,NA,1976,NA
"2002","HUN","SRV",1,NA,1,NA
"2002","HUN","STA",12,NA,12,NA
"2002","HUN","SUD",73,NA,73,NA
"2002","HUN","SYR",10,NA,10,NA
"2002","HUN","TAN",1,NA,1,NA
"2002","HUN","TOG",2,NA,2,NA
"2002","HUN","TUR",17,NA,17,NA
