"dsID","region","indID","period","value","is_number","source"
"World Bank","KEN","PSP120","1964","9200158.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1967","10154489.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1970","11252466.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1973","12529800.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1976","13995996.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1979","15661480.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1982","17559844.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1985","19660018.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1988","21896890.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1991","24237056.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1994","26634659.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","1997","28943647.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","2000","31285050.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","2003","33905011.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","2006","36757498.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","2009","39824734.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
"World Bank","KEN","PSP120","2012","43178141.0",1,"http://api.worldbank.org/datafiles/KEN_Country_MetaData_en_EXCEL.xls"
